Feature,KS,is_rosetta,topology,P-value
H_max_entropy,0.18891890610929427,False,HEEH,0.0004808333643292473
exposed_total,0.18736289572734682,True,EHEE,5.2396442413499884e-17
worst6frags,0.18726661687826737,True,EHEE,5.449277107864266e-17
L_max_entropy,0.18454421273689384,False,EHEE,1.6385483472313288e-16
hydrophobicity,0.18242570737949665,True,HEEH,0.0008442106372515967
nearest_chymo_cut_to_Nterm,0.18217226038488418,True,EEHEE,2.986656007979114e-15
nearest_chymo_cut_to_Cterm,0.17736509896312347,True,EEHEE,1.767300218264717e-14
exposed_hydrophobics,0.1755533437603678,True,HEEH,0.001498543129298202
fa_intra_sol_xover4,0.1755486722970604,True,HHH,3.219646771412954e-15
hbond_lr_bb_per_sheet,0.1752769745674899,True,EHEE,7.66053886991358e-15
nearest_chymo_cut_to_Cterm,0.1732783544243803,True,HEEH,0.0018030985820423062
chymo_cut_sites,0.1730843700597248,True,EHEE,1.3100631690576847e-14
L_max_entropy,0.17169158870885862,False,EEHEE,1.3552644653624078e-13
fa_intra_atr_xover4,0.171372095942671,True,EHEE,2.3092638912203256e-14
netcharge,0.1704024408952222,True,EEHEE,2.1332453541107655e-13
percent_core_SCN,0.166590950693709,True,EEHEE,7.995669199757662e-13
res_count_core_SCN,0.166590950693709,True,EEHEE,7.995669199757662e-13
Tend_netq,0.1656787235421995,True,HHH,6.5503158452884236e-15
fa_intra_rep_xover4,0.16539488443370143,True,HEEH,0.0033589590877450837
nearest_chymo_cut_to_term,0.1650631151555366,True,HEEH,0.003445838124586431
contig_not_hp_avg,0.16436797952509596,True,HEEH,0.003634612661753134
nearest_tryp_cut_to_term,0.16421767317958505,True,EHEE,2.83550960489265e-13
fa_dun_rot,0.1632653196238583,True,HHH,1.2989609388114332e-14
hbond_sc,0.16314954503895981,True,HHH,1.3433698597964394e-14
L_range_entropy,0.16306293220171922,False,EEHEE,2.6449943097209265e-12
largest_hphob_cluster,0.1606237262429499,True,HEEH,0.004825224581337051
SumL_entropies,0.1603122626274232,False,EHEE,1.1326495297225847e-12
degree,0.16023566509003404,True,EHEE,1.163069640597314e-12
L_min_entropy,0.15966942381503268,False,EEHEE,8.160039610085552e-12
fa_dun_rot,0.1591544622967913,True,HEEH,0.005382960618621646
Mean_res_entropy,0.15871914023519698,False,EHEE,1.979527652906654e-12
S_PC,0.15799997446748754,False,EHEE,2.5424107263916085e-12
total_score,0.15740082468363428,True,HEEH,0.006125479844476089
n_hydrophobic,0.15738502614657882,True,HEEH,0.006132571317987945
